latitude,longitude,Amenity
-33.8912097,151.2483036,Fast food
-33.8927258,151.2499482,Fast food
-33.8925907,151.2483225,Fast food
-33.8920446,151.2482667,Fast food
-33.9021378,151.2548104,Fast food
-33.8895692,151.2829899,Fast food
-33.8903114,151.2772365,Fast food
-33.8892274,151.2744343,Fast food
-33.8893571,151.2747171,Fast food
-33.890305,151.2748264,Fast food
-33.890512,151.2746936,Fast food
-33.8903823,151.274505,Fast food
-33.8906711,151.2743871,Fast food
-33.8907948,151.2743754,Fast food
-33.8908773,151.274234,Fast food
-33.8910568,151.2739774,Fast food
-33.892599,151.2728423,Fast food
-33.8896965,151.2805345,Fast food
-33.8936712,151.2611854,Fast food
-33.8943883,151.2676294,Fast food
-33.8906067,151.274462,Fast food
-33.8860709,151.2733852,Fast food
-33.8893124,151.2758062,Fast food
-33.8852249,151.2739917,Fast food
-33.8937675,151.2619204,Fast food
-33.8935766,151.2605992,Fast food
-33.89408125,151.2633886,Fast food
-33.871097,151.2384314,Fast food
-33.8778406,151.2425459,Fast food
-33.8775839,151.2428641,Fast food
-33.8774894,151.243114,Fast food
-33.8769917,151.2418693,Fast food
-33.8704331,151.2689317,Fast food
-33.873854,151.273146,Fast food
-33.8434202,151.2817171,Fast food
-33.9153351,151.2403239,Fast food
-33.914547,151.2402626,Fast food
-33.9146473,151.2403079,Fast food
-33.9140542,151.2400788,Fast food
-33.90761,151.2489069,Fast food
-33.9130555,151.242283,Fast food
-33.9135113,151.2398261,Fast food
-33.9149136,151.2404399,Fast food
-33.9211884,151.2265835,Fast food
-33.9261636,151.2313101,Fast food
-33.9201878,151.2267859,Fast food
-33.91982521,151.2274376,Fast food
-33.917294,151.2304856,Fast food
-33.917409,151.2344719,Fast food
-33.9170688,151.2340859,Fast food
-33.9167679,151.2327466,Fast food
-33.9117081,151.223545,Fast food
-33.9188401,151.2261448,Fast food
-33.9132001,151.2244777,Fast food
-33.9084451,151.2237566,Fast food
-33.9086176,151.2237302,Fast food
-33.9206901,151.2564447,Fast food
-33.9202656,151.2565459,Fast food
-33.9206634,151.2547442,Fast food
-33.9146725,151.2494901,Fast food
-33.9188234,151.257621,Fast food
-33.918816,151.2575635,Fast food
-33.9206994,151.2565433,Fast food
