Station name,Station address,Latitude,Longitude,Opening hours,Operator,Number of station,Number of plugs,Rating,Tesla,Type 2,J-1772,Tesla (Fast),CCS/SAE,CHAdeMO,Address of nearest destination charger ,Distance to the nearest destination charger (km),Energy required to nearest destination charger (kWh),Address of nearest fast charger,Distance to the nearest fast charger (km),Energy required to nearest fast charger (kWh),date
Macarthur Square Shopping Centre,"200 Gilchrist Dr, Campbelltown NSW 2560, Australia",-34.0773868,150.7975273,Open 24/7,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,"Lot 1 Mount Annan Dr, Mount Annan NSW 2567, Australia",4.75,0.96,"1 Art Gallery Rd, Campbelltown NSW 2560, Australia",1.92,0.24,10/3/2023
Westfield Bondi Junction - Car Park P4 (Valet),"500 Oxford St, Bondi Junction NSW 2022, Australia",-33.8915695,151.2505012,,Tesla Destination,4,4,22 kW,4,0,0,0,0,0,"13 Waverley Street, Bondi Junctionâ€Ž NSWâ€Ž 2022, Australia",0.88,0.17,"73 Belmore Road, Randwick NSW 2031, Australia",3.18,0.55,10/3/2023
East Village Shopping Centre (1),"4 Defries Ave, Zetland NSW 2017, Australia",-33.9053693,151.2129762,"Daily, 6:00am - midnight",Chargefox,2,4,22 - 350 kW,0,4,0,0,0,0,"2 Todman Avenue, Moore Parkâ€Ž NSWâ€Ž 2021, Australia",0.78,0.22,"2 Defries Ave, Zetland NSW 2017, Australia",0.05,0.02,10/3/2023
Broadway Shopping Centre,"31 Bay St, Ultimo NSW 2007, Australia",-33.8827784,151.1948135,05:00 - 23:59,Chargefox,2,4,22 kW,0,4,2,0,0,0,"25 Thomas St, Ultimo NSW 2007, Australia",0.6,0.14,"1 Bay St, Glebe NSW 2037, Australia",0.04,0.02,23/8/2022
Pullman Sydney Airport,"191 O'Riordan St, Mascot NSW 2020, Australia",-33.927502,151.1868265,Open 24/7,,1,2,kW,0,2,0,0,0,0,"154 O'Riordan St., Mascot, NSW, 2020",0.6,0.12,"470 Gardeners Rd, Alexandria NSW 2015, Australia",1.8,0.27,10/3/2023
East Village Shopping Centre (2),"Level B2, 2A Defries Ave, Zetland NSW 2017, Australia",-33.9054218,151.2126973,"Daily, 6am - Midnight",Tesla Destination,3,3,22 kW,3,0,0,0,0,0,"4 Defries Ave, Zetland NSW 2017, Australia",0.01,0.01,"2 Defries Ave, Zetland NSW 2017, Australia",0.05,0.02,10/3/2023
Ventia Kingsgrove Office Carpark,"111 Vanessa Street, Kingsgrove NSW 2208",-33.9424575,151.0937324,Open 24/7,ChargePoint,1,2,kW,0,0,2,0,0,0,"Morgan St, Beverly Hills NSW 2209, Australia",1.58,0.29,"Milperra Rd, The River Rd, Revesby NSW 2212",8.05,1.66,23/8/2022
Mercure Sydney (1),"818-820 George St, Sydney NSW 2007, Australia",-33.8842625,151.203022,"Open 24/7
24 hours",ChargePoint,1,1,6.6 kW,0,0,1,0,0,0,"818 George St, Chippendale NSW 2008, Australi, Chippendale 2008",0.01,0.01,"2 Central Ave, Eveleigh NSW 2015, Australia",2.15,0.38,10/3/2023
The Lantern Club,"21 Roselands Ave, Roselands NSW 2196, Austral, Roselands 2196",-33.9355706,151.0718138,,Exploren,1,2,22 kW,0,2,0,0,0,0,"Morgan St, Beverly Hills NSW 2209, Australia",1.98,0.27,"24-42 King Georges Road, Wiley Park, NSW 2195",2.88,0.39,10/3/2023
Mercure Sydney (2),"818 George St, Chippendale NSW 2008, Australi, Chippendale 2008",-33.8842154,151.2030365,Open 24/7,Exploren,1,1,7 kW,0,1,0,0,0,0,"179 Thomas St, Haymarket NSW 2000, Australia",0.52,0.08,"2 Central Ave, Eveleigh NSW 2015, Australia",2.17,0.38,10/3/2023
Beauty by Jackie,"118 Mountview Ave, Narwee NSW 2209, Australia",-33.9494015,151.0682085,"Open 24/7
24/7",,1,1,22 kW,0,1,0,0,0,0,"42 Broad Arrow Rd, Narwee NSW 2209, Australia",0.4,0.06,"Milperra Rd, The River Rd, Revesby NSW 2212",5.92,1.05,10/3/2023
Emirates One & Only Wolgan Valley,"2600 Wolgan Road, Wolgan Valley NSW 2790, Australia",-33.2543151,150.1941762,Open 24/7,Tesla Destination,2,3,6 kW,2,0,1,0,0,0,"2600 Wolgan Rd, Wolgan Valley NSW 2790, Australia",2.98,0.72,"Unnamed Road, Blackmans Flat NSW 2790, Australia",35.17,7.83,1/1/2020
Jenolan Caves House,"4654 Jenolan Caves Road, Jenolan‎ NSW‎ 2790, Australia",-33.8196463,150.0253007,Open 24/7,Tesla Destination,2,2,4 kW,2,0,0,0,0,0,,,,,,,1/1/2020
Kandos Museum,"22 Buchanan St, Kandos NSW 2848, Australia",-32.8602709,149.9734969,"Kandos Museum open 10am-4pm, Wed-Sun. Community NFP donation requested. Ask
front desk for key.",Tesla Destination,1,1,22 kW,1,0,0,0,0,0,1307 Castlereagh Highway Apple Tree Flat,47.5,13.72,"99 Mortimer St, Mudgee NSW 2850, Australia",60,14.25,1/1/2020
The Hydro Majestic Hotel Blue Mountains,"52-88 Great Western Hwy, Medlow Bath NSW 2780, Australia",-33.6760426,150.2810551,Open 24/7,Tesla Destination,1,2,22 kW,1,0,1,0,0,0,"13-17 Brightlands Ave, Blackheath NSW 2785",3.68,0.62,"4-6 New St, Lawson NSW 2783, Australia",19.05,2.94,1/1/2020
Megalong Valley Tea Room,"824 Megalong Rd, Megalong Valley NSW 2785, Australia",-33.6960878,150.2527941,9am - 2:45pm,Chargefox,2,4,22 kW,0,4,0,0,0,0,132 Govetts Leap Road Blackheath ,10.4,3.91,"4-6 New St, Lawson NSW 2783, Australia",33.52,7.23,10/3/2023
Akuna Motor Inn & Apartments,"109 Whylandra St, Dubbo NSW 2830, Australia",-32.2522027,148.5898971,,Tesla Destination,1,1,22 kW,1,0,0,0,0,0,"109 Cobra St, Dubbo NSW 2830, Australia",2.4,0.31,"76 Wingewarra St, Dubbo NSW 2830, Australia",2.78,0.36,1/1/2020
Emirates One&Only Wolgan Valley,"2600 Wolgan Rd, Wolgan Valley NSW 2790, Australia",-33.2543151,150.1941762,,,1,1,11 kW,0,1,0,0,0,0,"2600 Wolgan Road, Wolgan Valley NSW 2790, Australia",2.98,0.49,"Unnamed Road, Blackmans Flat NSW 2790, Australia",38.1,7.66,1/1/2020
Glen Isla Blue Mountains,"6 The Avenue, Wentworth Falls, NSW, Australia, NSW 2782",-33.7219754,150.3716578,,Tesla Destination,2,2,5 kW,2,0,0,0,0,0,"8-12 Eastview Ave, Leura NSW 2780, Australia",5.72,1.5,"4-6 New St, Lawson NSW 2783, Australia",8.45,1.07,1/1/2020
Kyah Hotel,"13-17 Brightlands Ave, Blackheath NSW 2785",-33.6493701,150.2872652,Open 24/7,,4,4,22 kW,0,4,0,0,0,0,"52-88 Great Western Hwy, Medlow Bath NSW 2780, Australia",3.72,0.69,"4-6 New St, Lawson NSW 2783, Australia",22.7,3.72,10/3/2023
Oberon Visitor Information Centre,"48 Ross St, Oberon NSW 2787, Australia",-33.7087606,149.857737,Open 24/7,Tesla Destination,2,2,22 kW,0,2,0,0,0,0,"4654 Jenolan Caves Road, Jenolanâ€Ž NSWâ€Ž 2790, Australia",28.05,6.97,"1 Kendall Ave, Bathurst NSW 2795, Australia",46,9.47,23/8/2022
Bethany Manor,"8-12 Eastview Ave, Leura NSW 2780, Australia",-33.7082213,150.3270644,,Tesla Destination,1,1,3 kW,1,0,0,0,0,0,"15-47 Katoomba Street, Katoomba NSW 2780, Australia",3.55,0.84,"4-6 New St, Lawson NSW 2783, Australia",11.82,1.58,10/3/2023
Charles Dalglish,"43 Baaners Lane, Little Hartley NSW 2790, Australia",-33.5683775,150.2001079,8am to 5 pm,,2,2,kW,0,0,2,0,0,0,"22 Coxs River Rd, Little Hartley NSW 2790, Australia",1.12,0.2,"3-7 Tank St, Lithgow NSW 2790, Australia",18.5,5.3,23/8/2022
Hartley Green Power ,"22 Coxs River Rd, Little Hartley NSW 2790, Australia",-33.5671333,150.2035449,0800-2000,,2,2,kW,0,0,2,0,0,0,"43 Baaners Lane, Little Hartley NSW 2790, Australia",1.12,0.18,"3-7 Tank St, Lithgow NSW 2790, Australia",18.7,5.11,23/8/2022
Fairmont Resort Blue Mountains by MGallery (1),"1 Sublime Point Rd, Leura NSW 2780, Australia",-33.7208785,150.3514193,Open 24/7,,2,2,kW,0,2,0,0,0,0,"1 Sublime Point Rd, Leura NSW 2780, Australia, Leura 2780",0.42,0.08,"4-6 New St, Lawson NSW 2783, Australia",12.02,1.81,10/3/2023
Fairmont Resort Blue Mountains by MGallery (2),"1 Sublime Point Rd, Leura NSW 2780, Australia, Leura 2780",-33.7208785,150.3514193,Open 24/7,Exploren,1,1,7 kW,0,1,0,0,0,0,"1 Sublime Point Rd, Leura NSW 2780, Australia",0.38,0.2,"4-6 New St, Lawson NSW 2783, Australia",12.28,1.94,10/3/2023
Bluegum Dubbo Motel,"109 Cobra St, Dubbo NSW 2830, Australia",-32.2550201,148.6102601,,Tesla Destination,2,2,14 kW,2,0,0,0,0,0,"95 Cobra St, Dubbo NSW 2830, Australia",0.32,0.08,"76 Wingewarra St, Dubbo NSW 2830, Australia",0.78,0.11,10/3/2023
Orana Motel,"95 Cobra St, Dubbo NSW 2830, Australia",-32.2546157,148.6087193,,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,"109 Cobra St, Dubbo NSW 2830, Australia",0.25,0.1,"76 Wingewarra St, Dubbo NSW 2830, Australia",0.68,0.1,10/3/2023
The Carrington Hotel Katoomba,"15-47 Katoomba Street, Katoomba NSW 2780, Australia",-33.7127563,150.3104758,11am - 11pm,,3,3,kW,0,3,0,0,0,0,"8-12 Eastview Ave, Leura NSW 2780, Australia",2.55,0.33,"4-6 New St, Lawson NSW 2783, Australia",13.9,1.72,23/8/2022
Portman House,"205 Kelly St, Scone NSW 2337, Australia",-32.051564,150.8671373,,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,"8 Dorsman Dr, Singleton Heights NSW 2330, Aus, Singleton Heights 2330",72.3,15.89,"116 Liverpool St, Scone NSW 2337, Australia",0.2,0.08,1/1/2020
Glenguin Estate & Vineyard,"997 Milbrodale Rd, Broke NSW 2330, Australia",-32.7461755,151.0732014,,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,"558 Wollombi Rd, Broke NSW 2330, Australia",9.32,1.77,"Hunter Valley Gardens carpark, 2090 Broke Rd, Pokolbin NSW 2320, Australia",24.15,5.57,1/1/2020
Coles Huntlee,"22 Empire St, Branxton NSW 2335, Australia",-32.6701589,151.3506496,Open 24/7,Chargefox,2,2,kW,0,2,0,0,0,0,"Corner Broke Road & Wine Country Drive, Pokolbin, New South Wales, Australia, NSW 2320",13.5,3.06,"Hunter Valley Gardens carpark, 2090 Broke Rd, Pokolbin NSW 2320, Australia",14.15,2.9,1/1/2020
Wild Edge Retreat,"260 Craft Rd, Wollombi NSW 2325, Australia",-32.9507358,151.1782599,,Tesla Destination,2,4,6 kW,2,2,0,0,0,0,3718 Great North Road Laguna NSW,13.55,1.98,"Hunter Valley Gardens carpark, 2090 Broke Rd, Pokolbin NSW 2320, Australia",44,7.35,1/1/2020
Erina Fair,"Penrose Cres, Erina NSW 2250, Australia",-33.4350692,151.3892837,Open 24/7,,2,2,kW,2,0,0,0,0,0,"176 Terrigal Drive Terrigal, New South Wales, 2260",4.97,0.82,"481 Pacific Hwy, Wyoming NSW 2250, Australia",9.3,1.75,1/1/2020
Thistledo Vineyard,"558 Wollombi Rd, Broke NSW 2330, Australia",-32.7839958,151.0815855,,Tesla Destination,1,1,6 kW,1,0,0,0,0,0,"997 Milbrodale Rd, Broke NSW 2330, Australia",9.32,1.67,"Hunter Valley Gardens carpark, 2090 Broke Rd, Pokolbin NSW 2320, Australia",26.7,6.08,1/1/2020
Adina Vineyard & Olive Grove,"492 Lovedale Rd, Lovedale NSW 2325, Australia",-32.7533265,151.3716294,10am - 5pm,,2,2,kW,0,2,0,0,0,0,"430 Wine Country Dr, Lovedale NSW 2325, Austr, Lovedale 2325",5.08,0.89,"Hunter Valley Gardens carpark, 2090 Broke Rd, Pokolbin NSW 2320, Australia",10.72,2.38,1/1/2020
Spicers Hunter Valley,"555 Hermitage Rd, Pokolbin NSW 2320, Australia",-32.6963867,151.2617226,,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,"989 Hermitage Rd, Pokolbin NSW 2320, Australia",4.6,0.74,"Hunter Valley Gardens carpark, 2090 Broke Rd, Pokolbin NSW 2320, Australia",12.48,2.63,1/1/2020
Worthington BMW,"1 Kangoo Rd, Somersby NSW 2250",-33.4285801,151.291002,Mon - Fri: 8:30am - 5:30pm Sat - Sun: 9:00am - 4:00pm,,2,2,kW,0,2,0,0,0,0,"733 Pacific Hwy, Narara NSW 2250, Australia",10.2,1.72,"481 Pacific Hwy, Wyoming NSW 2250, Australia",10.35,1.6,23/8/2022
The Longhouse Pokolbin,"385 Palmers Ln, Pokolbin, , Australia, NSW 2320",-32.7541516,151.3000422,,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,"401-427 McDonalds Road, Pokolbin, , Australia, NSW 2320",4.82,0.91,"Hunter Valley Gardens carpark, 2090 Broke Rd, Pokolbin NSW 2320, Australia",5,0.88,1/1/2020
Oakvale Wines,"1596 Broke Rd, Pokolbin, Australia, NSW 2320",-32.758988,151.2523686,,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,"989 Hermitage Rd, Pokolbin NSW 2320, Australia",3.22,0.4,"Hunter Valley Gardens carpark, 2090 Broke Rd, Pokolbin NSW 2320, Australia",5.12,0.96,1/1/2020
Kirkton Park Hunter Valley,"336 Oakey Creek Rd, Pokolbin NSW 2320, Australia",-32.8086137,151.3054362,Open 24/7,Tesla Destination,2,2,6 kW,2,0,0,0,0,0,"402 Mount View Road Lot 211, Mount View, New South Wales, Australia, NSW 2325",3.95,0.55,"Hunter Valley Gardens carpark, 2090 Broke Rd, Pokolbin NSW 2320, Australia",14.15,3.14,1/1/2020
Narara Ecovillage Coffee Cart,"30 Gugandi Rd, Narara NSW 2250 [As Gugandi is a private road, you may need to type Research Rd for GPS directions]",-33.3933139,151.3293369,,,1,2,kW,0,1,1,0,0,0,"733 Pacific Hwy, Narara NSW 2250, Australia",3.7,0.72,"481 Pacific Hwy, Wyoming NSW 2250, Australia",3.85,0.6,1/1/2020
Alroy Park Club - Singleton Diggers,"8 Dorsman Dr, Singleton Heights NSW 2330, Aus, Singleton Heights 2330",-32.5496511,151.1613028,Open 24/7,Exploren,2,2,22 kW,0,2,0,0,0,0,"555 Hermitage Rd, Pokolbin NSW 2320, Australia",23.4,5.08,"Hunter Valley Gardens carpark, 2090 Broke Rd, Pokolbin NSW 2320, Australia",35.17,7.9,10/3/2023
Gosford Inn Motel,"733 Pacific Hwy, Narara NSW 2250, Australia",-33.3924666,151.3534897,,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,"30 Gugandi Rd, Narara NSW 2250 [As Gugandi is a private road, you may need to type Research Rd for GPS directions]",3.68,0.58,"481 Pacific Hwy, Wyoming NSW 2250, Australia",2.65,0.32,1/1/2020
Spicers Tower Lodge,"6 Halls Rd, Pokolbin NSW 2320, Australia",-32.7767369,151.3150657,,,2,2,kW,0,2,0,0,0,0,"Corner Broke Road & Wine Country Drive, Pokolbin, New South Wales, Australia, NSW 2320",2.5,0.34,"Hunter Valley Gardens carpark, 2090 Broke Rd, Pokolbin NSW 2320, Australia",2.48,0.47,10/3/2023
Spicer's Guesthouse,"Ekerts Rd, Polkobin NSW 2320",-32.7780074,151.2713445,Open 24/7,,2,4,kW,2,2,0,0,0,0,"401-427 McDonalds Road, Pokolbin, , Australia, NSW 2320",3.12,0.49,"Hunter Valley Gardens carpark, 2090 Broke Rd, Pokolbin NSW 2320, Australia",2.33,0.31,23/8/2022
Peterson House,"Corner Broke Road & Wine Country Drive, Pokolbin, New South Wales, Australia, NSW 2320",-32.7753762,151.3407758,,Tesla Destination,1,1,22 kW,1,0,0,0,0,0,"6 Halls Rd, Pokolbin NSW 2320, Australia",2.5,0.58,"Hunter Valley Gardens carpark, 2090 Broke Rd, Pokolbin NSW 2320, Australia",4.25,1.01,23/8/2022
Cypress Lakes Resort Golf & Country Club,"Vintage Avenue, Pokolbin NSW 2320, Australia",-32.7857778,151.2851456,Open 24/7,Tesla Destination,2,2,7 kW,2,0,0,0,0,0,"Tamburlaine, 358 McDonalds Rd, Pokolbin NSW 2320, Australia",1.23,0.08,"Hunter Valley Gardens carpark, 2090 Broke Rd, Pokolbin NSW 2320, Australia",2.7,0.33,23/8/2022
Savannah Estate,"402 Mount View Road Lot 211, Mount View, New South Wales, Australia, NSW 2325",-32.8313564,151.3187613,,Tesla Destination,1,1,6 kW,1,0,0,0,0,0,"41 Oakey Creek Rd, Cessnock NSW 2325, Australia",1.2,0.28,"Hunter Valley Gardens carpark, 2090 Broke Rd, Pokolbin NSW 2320, Australia",11.38,2.32,23/8/2022
Hunter Valley Cooperage B&B,"41 Oakey Creek Rd, Cessnock NSW 2325, Australia",-32.8251403,151.3264179,"Open 24/7
24/7",,2,2,17 kW,2,0,0,0,0,0,"402 Mount View Road Lot 211, Mount View, New South Wales, Australia, NSW 2325",1.2,0.2,"Hunter Valley Gardens carpark, 2090 Broke Rd, Pokolbin NSW 2320, Australia",11.4,2.18,23/8/2022
Tamburlaine Wines,"Tamburlaine, 358 McDonalds Rd, Pokolbin NSW 2320, Australia",-32.7830981,151.2998123,,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,"401-427 McDonalds Road, Pokolbin, , Australia, NSW 2320",1.1,0.27,"Hunter Valley Gardens carpark, 2090 Broke Rd, Pokolbin NSW 2320, Australia",2,0.36,1/1/2020
Keith Tulloch Winery,"989 Hermitage Rd, Pokolbin NSW 2320, Australia",-32.7343224,151.2624573,,,1,1,kW,0,1,0,0,0,0,"CNR Hermitage Rd and Mistletow Ln, Mistletoe Ln, Pokolbin NSW 2320, Australia",0.98,0.26,"Hunter Valley Gardens carpark, 2090 Broke Rd, Pokolbin NSW 2320, Australia",7.88,1.73,23/8/2022
Briar Ridge Vineyard,"593 Mount View Rd, Mount View NSW 2325, Australia",-32.8395043,151.2984677,,Tesla Destination,1,1,22 kW,1,0,0,0,0,0,"522 Mount View Road, Mt View, New South Wales, Australia, NSW 2325",1.23,0.34,"Hunter Valley Gardens carpark, 2090 Broke Rd, Pokolbin NSW 2320, Australia",14.35,2.3,10/3/2023
Chateau Elan at The Vintage Hunter Valley,"786G+FJ Pokolbin NSW, Australia",-32.7388125,151.3265625,,,2,2,7 kW,2,0,0,0,0,0,"401-427 McDonalds Road, Pokolbin, , Australia, NSW 2320",6.18,1.31,"Hunter Valley Gardens carpark, 2090 Broke Rd, Pokolbin NSW 2320, Australia",6.38,1.28,10/3/2023
