Charging location,Number of plugs,Number of plugs in 2023,Number of plugs in 2026,Number of plugs in 2031,Zone substation installed capacity in 2023 (MVA),Zone substation available capacity in 2023 (MVA),Zone (km),Type,Latitude,Longitude,Time
"Burren junction, NSW",4,4,4,4,5,2.9,20km,Journey enablement,-30.10402248,148.9687545,1/01/2025
"Goolgowi, NSW",4,4,4,4,16,2.7,20km,Journey enablement,-33.98007672,145.7078232,1/01/2025
"Lockhart, NSW",4,4,4,4,5,1.5,20km,Journey enablement,-35.22331375,146.7143683,1/01/2025
"Maude, NSW",4,4,4,4,30,16.8,20km,Journey enablement,-34.63309776,144.2898553,1/01/2025
"Henty, NSW",4,4,4,4,5,2.1,20km,Journey enablement,-35.51881128,147.035332,1/01/2025
"Holbrook, NSW",4,4,4,4,7,3.3,20km,Journey enablement,-35.71994885,147.316589,1/01/2025
"Deniliquin, NSW",4,4,4,4,30,6.8,20km,Journey enablement,-35.52758055,144.9648168,1/01/2025
Brewarrina NSW,4,4,4,4,8,5.3,20km,Journey enablement,-29.95976876,146.8548786,1/01/2025
"Collarenebri, NSW",4,4,4,4,5,2.3,20km,Journey enablement,-29.54576302,148.5766712,1/01/2025
"Ulladulla, NSW",4,4,4,4,30,4.91,20km,Journey enablement,-35.3579322,150.4740188,1/01/2025
"Narooma, NSW",4,4,4,4,12.5,5.6,20km,Journey enablement,-36.22224959,150.1274296,1/01/2025
"Bingara, NSW",4,4,4,4,3,0.4,20km,Journey enablement,-29.86676821,150.5711728,1/01/2025
"Euston, NSW",4,4,4,4,10,3.4,20km,Journey enablement,-34.57492649,142.7426138,1/01/2025
"Bathurst, NSW",9,4,13,59,115,47.8,10km,Major towns,-33.41196467,149.577495,1/01/2025
"Mudgee, NSW",5,4,9,39,30,1.1,10km,Major towns,-32.5960278,149.5826128,1/01/2025
"Orange, NSW",6,4,9,43,85,23.1,10km,Major towns,-33.27501442,149.0871633,1/01/2025
"Cobar, NSW",4,4,4,6,11,3.9,10km,Major towns,-31.49923264,145.8698973,1/01/2025
"Dubbo, NSW",11,4,19,89,138,48.8,10km,Major towns,-32.24685062,148.593704,1/01/2025
"Branxton, NSW",4,4,5,16,91.29,30.15,10km,Major towns,-32.65890452,151.3520237,1/01/2025
"Nelson Bay Peninsula, NSW",5,4,6,25,45.73,19.22,10km,Major towns,-32.71649559,152.1569676,1/01/2025
"Woodville, NSW",4,4,4,10,38.11,27.58,10km,Major towns,-32.67507971,151.6125853,1/01/2025
"Singleton, NSW",7,4,10,46,60.97,18.98,10km,Major towns,-32.55558784,151.1633237,1/01/2025
"Taree, NSW",6,4,8,30,45,14.8,10km,Major towns,-31.91235582,152.4625882,1/01/2025
"Williamtown, NSW",4,4,5,18,24.75,18.34,10km,Major towns,-32.81669587,151.8425142,1/01/2025
"Kiama, NSW",5,4,7,30,25,11.18,10km,Major towns,-34.66724838,150.849675,1/01/2025
"Armidale, NSW",8,4,13,65,28.5,6,10km,Major towns,-30.52284634,151.6569822,1/01/2025
"Tamworth, NSW",6,4,15,78,46,13.6,10km,Major towns,-31.08942105,150.9303527,1/01/2025
"Ballina, NSW",5,4,6,26,30,3.9,10km,Major towns,-28.85914979,153.564414,1/01/2025
"Byron Bay, NSW",6,4,10,47,75,44.4,10km,Major towns,-28.63753887,153.5925318,1/01/2025
"Coffs Harbour, NSW",6,4,10,41,76,29.3,10km,Major towns,-30.29646404,153.1135474,1/01/2025
"Grafton, NSW",4,4,6,19,25,8.3,10km,Major towns,-29.68712068,152.936531,1/01/2025
"Kingscliff, NSW",4,4,6,18,30,14.6,10km,Major towns,-28.26011013,153.5797429,1/01/2025
"Lennox Head, NSW",4,4,4,12,45,13.5,10km,Major towns,-28.79083743,153.585243,1/01/2025
"Lismore, NSW",5,4,7,30,78,38.3,10km,Major towns,-28.81477336,153.2858978,1/01/2025
"Port Macquarie, NSW",10,4,14,68,80,23.9,10km,Major towns,-31.4354193,152.8976597,1/01/2025
"Boambee, NSW",4,4,5,18,30,21,10km,Major towns,-30.33112267,153.0817941,1/01/2025
"Terranora, NSW",4,4,4,4,30,23.5,10km,Major towns,-28.24166615,153.5092115,1/01/2025
Tweed Heads,6,4,10,40,110,49,10km,Major towns,-28.18074858,153.5211111,1/01/2025
"Albury, NSW",7,4,10,48,197.9,58.4,10km,Major towns,-36.06521947,146.9398891,1/01/2025
"Griffith, NSW",5,4,7,29,87.5,34.8,10km,Major towns,-34.28797694,146.0447694,1/01/2025
"Moama, NSW",4,4,4,7,30,14.7,10km,Major towns,-36.11112877,144.7560399,1/01/2025
"Wagga Wagga, NSW",10,4,14,75,98,29.2,10km,Major towns,-35.11753461,147.3600657,1/01/2025
"Batemans Bay, NSW",5,4,6,21,45,25.7,10km,Major towns,-35.72494275,150.1941396,1/01/2025
"Goulburn, NSW",5,4,9,40,64,33,10km,Major towns,-34.75542588,149.7137326,1/01/2025
"Colo Vale, NSW",4,4,4,9,30,16.6,10km,Major towns,-34.42143965,150.4771118,1/01/2025
"Jindabyne, NSW",4,4,5,20,40,22.1,10km,Major towns,-36.42756905,148.6215919,1/01/2025
"Merimbula, NSW",5,4,6,20,16,1,10km,Major towns,-36.8831024,149.9061706,1/01/2025
"Queanbeyan , NSW",6,4,9,40,60,16.3,10km,Major towns,-35.3569899,149.2197883,1/01/2025
"Yass, NSW",5,4,7,29,12,-0.8,10km,Major towns,-34.8375596,148.9069095,1/01/2025
"Young, NSW",4,4,4,17,30,11.7,10km,Major towns,-34.30614531,148.3016193,1/01/2025
"Bargo, NSW",4,4,4,7,25,6.99,10km,Major towns,-34.28504299,150.5783452,1/01/2025
"Douglas Park, NSW",4,4,4,14,15,9.7,10km,Major towns,-34.18668233,150.7169898,1/01/2025
"Jilliby, NSW",4,4,4,8,54.01,6.72,10km,Major towns,-33.23183162,151.4067649,1/01/2025
"Nowra, NSW",5,4,8,27,90,28.88,10km,Major towns,-34.8772319,150.6049967,1/01/2025
"Picton, NSW",4,4,7,26,35,10.19,10km,Major towns,-34.1729175,150.6085127,1/01/2025
"The Oaks, NSW",4,4,4,14,15,6.78,10km,Major towns,-34.08688186,150.5668705,1/01/2025
Lithgow,4,4,5,21,30,14.29,10km,Major towns,-33.4827328,150.1559295,1/01/2025
"Bega, NSW",4,4,4,8,30,15.1,20km,Journey enablement,-36.68056791,149.831479,1/01/2026
"Tarcutta, NSW",4,4,4,8,6.9,3.1,20km,Journey enablement,-35.28335431,147.7166748,1/01/2026
Buronga NSW,4,4,4,20,39.7,-2.4,20km,Journey enablement,-34.17329117,142.1898025,1/01/2026
"Hay, NSW",4,4,4,8,10,3.6,20km,Journey enablement,-34.50418411,144.8441586,1/01/2026
"Gunnedah, NSW",4,4,4,8,30,5.2,20km,Journey enablement,-30.97942441,150.2461079,1/01/2026
"Narrabri, NSW",4,4,4,24,30,13.7,20km,Journey enablement,-30.32802835,149.7786371,1/01/2026
"Coonabarabran, NSW",4,4,4,7,13,4.4,20km,Journey enablement,-31.27345491,149.2773256,1/01/2026
"Forbes, NSW",4,4,4,12,30,15.2,20km,Journey enablement,-33.36663735,148.0218351,1/01/2026
"Wilcannia, NSW",4,4,4,4,3.5,2.5,20km,Journey enablement,-31.55870878,143.3787463,1/01/2026
"Broken hills, NSW",4,4,4,4,88.2,45.5,20km,Journey enablement,-31.95125654,141.4629446,1/01/2026
"Nyngan, NSW",4,4,4,4,10,1.1,20km,Journey enablement,-31.55015706,147.1762086,1/01/2026
"Bourke, NSW",4,4,4,4,10,2.9,20km,Journey enablement,-30.09331095,145.9429621,1/01/2026
"Walgett, NSW",4,4,4,5,10,5.1,20km,Journey enablement,-30.0224736,148.1164745,1/01/2026
"Moree, NSW",4,4,4,19,30,10.9,20km,Journey enablement,-29.46292196,149.8357509,1/01/2026
"Glen innes, NSW",4,4,4,5,20,11.9,20km,Journey enablement,-29.73747398,151.7383796,1/01/2026
"Willow Tree, NSW",4,4,4,6,13.3,6.5,20km,Journey enablement,-31.63710229,150.7227959,1/01/2026
"Narrandera, NSW",4,4,4,7,16,2,20km,Journey enablement,-34.74012302,146.5559219,1/01/2026
"Mittagong-Bowral, NSW",8,4,8,43,25,7.19,10km,Major towns,-34.45081557,150.4489285,1/01/2026
"Cooma,NSW",4,4,4,11,20,7.1,20km,Journey enablement,-36.23450396,149.1268611,1/01/2026
"Cowra,NSW",4,4,4,19,30,8.5,20km,Journey enablement,-33.83453885,148.6812105,1/01/2026
"Parkes, NSW",4,4,4,17,30,10.4,20km,Journey enablement,-33.14172239,148.1720098,1/01/2026
"West wyalong, NSW",4,4,4,5,8,-1.1,20km,Journey enablement,-33.91874404,147.1935743,1/01/2026
"Gilgandra,NSW",4,4,4,6,12,5,20km,Journey enablement,-31.69868028,148.6651375,1/01/2026
"Muswellbrook,NSW",4,4,4,16,47.64,21.83,20km,Journey enablement,-32.27879643,150.8982537,1/01/2026
"Pooncarie, NSW",4,4,4,4,8,5.1,20km,Journey enablement,-33.38528348,142.5701108,1/01/2026
"Menindee, NSW",4,4,4,4,5,4,20km,Journey enablement,-32.39567165,142.4132163,1/01/2026
"Ivanhoe, NSW",4,4,4,4,1,-0.1,20km,Journey enablement,-32.9001224,144.3005299,1/01/2026
"Hillston, NSW",4,4,4,4,16,2.7,20km,Journey enablement,-33.48682563,145.5327784,1/01/2026
"Condobolin, NSW",4,4,4,4,10,1.5,20km,Journey enablement,-33.08801497,147.1521962,1/01/2026
"Jerilderie, NSW",4,4,4,8,10,6.3,20km,Journey enablement,-35.35527235,145.723215,1/01/2026
"Balranald, NSW",4,4,4,4,10,6.1,20km,Journey enablement,-34.64220389,143.5671508,1/01/2026
"Coonamble, NSW",4,4,4,4,10,3.8,20km,Journey enablement,-30.95759161,148.3884464,1/01/2026
"Dunedoo, NSW",4,4,4,4,10,4.5,20km,Journey enablement,-32.01615914,149.3979499,1/01/2026
"Inverell, NSW",4,4,4,15,30,7.9,20km,Journey enablement,-29.77427023,151.1109517,1/01/2026
"Barraba, NSW",4,4,4,4,5,2.4,20km,Journey enablement,-30.38247195,150.6096493,1/01/2026
"Temora, NSW",4,4,4,15,10,1.9,20km,Journey enablement,-34.44663402,147.5342991,1/01/2026
"Gundagai, NSW",4,4,4,16,8,1.8,20km,Journey enablement,-35.06151192,148.101348,1/01/2026
"Maclean, NSW",4,4,4,23,16,7,20km,Journey enablement,-29.46060498,153.2017825,1/01/2026
"Molong, NSW",4,4,4,7,4,-0.5,20km,Journey enablement,-33.09428677,148.8656758,1/01/2026
"Hermidale, NSW",4,4,4,4,10,1.1,20km,Journey enablement,-31.54825577,146.7243633,1/01/2026
"Emmdale, NSW",4,4,4,4,5,4.1,20km,Journey enablement,-31.65323367,144.2682742,1/01/2026
"Bilpin, NSW",4,4,4,4,15,0.68,20km,Journey enablement,-33.4979667,150.5213474,1/01/2026
"Little Topar, NSW",4,4,4,4,1.5,0.2,20km,Journey enablement,-31.7798724,142.2273978,1/01/2026
"Coolabah ,NSW",4,4,4,4,10,1.1,20km,Journey enablement,-31.0252105,146.7134536,1/01/2026
"Burren junction, NSW",4,4,4,4,5,2.9,20km,Journey enablement,-30.10402248,148.9687545,1/01/2026
"Goolgowi, NSW",4,4,4,4,16,2.7,20km,Journey enablement,-33.98007672,145.7078232,1/01/2026
"Lockhart, NSW",4,4,4,4,5,1.5,20km,Journey enablement,-35.22331375,146.7143683,1/01/2026
"Maude, NSW",4,4,4,4,30,16.8,20km,Journey enablement,-34.63309776,144.2898553,1/01/2026
"Henty, NSW",4,4,4,4,5,2.1,20km,Journey enablement,-35.51881128,147.035332,1/01/2026
"Holbrook, NSW",4,4,4,4,7,3.3,20km,Journey enablement,-35.71994885,147.316589,1/01/2026
"Deniliquin, NSW",4,4,4,4,30,6.8,20km,Journey enablement,-35.52758055,144.9648168,1/01/2026
Brewarrina NSW,4,4,4,4,8,5.3,20km,Journey enablement,-29.95976876,146.8548786,1/01/2026
"Collarenebri, NSW",4,4,4,4,5,2.3,20km,Journey enablement,-29.54576302,148.5766712,1/01/2026
"Ulladulla, NSW",4,4,4,4,30,4.91,20km,Journey enablement,-35.3579322,150.4740188,1/01/2026
"Narooma, NSW",4,4,4,4,12.5,5.6,20km,Journey enablement,-36.22224959,150.1274296,1/01/2026
"Bingara, NSW",4,4,4,4,3,0.4,20km,Journey enablement,-29.86676821,150.5711728,1/01/2026
"Euston, NSW",4,4,4,4,10,3.4,20km,Journey enablement,-34.57492649,142.7426138,1/01/2026
"Bathurst, NSW",13,4,13,59,115,47.8,10km,Major towns,-33.41196467,149.577495,1/01/2026
"Mudgee, NSW",9,4,9,39,30,1.1,10km,Major towns,-32.5960278,149.5826128,1/01/2026
"Orange, NSW",9,4,9,43,85,23.1,10km,Major towns,-33.27501442,149.0871633,1/01/2026
"Cobar, NSW",4,4,4,6,11,3.9,10km,Major towns,-31.49923264,145.8698973,1/01/2026
"Dubbo, NSW",19,4,19,89,138,48.8,10km,Major towns,-32.24685062,148.593704,1/01/2026
"Branxton, NSW",5,4,5,16,91.29,30.15,10km,Major towns,-32.65890452,151.3520237,1/01/2026
"Nelson Bay Peninsula, NSW",6,4,6,25,45.73,19.22,10km,Major towns,-32.71649559,152.1569676,1/01/2026
"Woodville, NSW",4,4,4,10,38.11,27.58,10km,Major towns,-32.67507971,151.6125853,1/01/2026
"Singleton, NSW",10,4,10,46,60.97,18.98,10km,Major towns,-32.55558784,151.1633237,1/01/2026
"Taree, NSW",8,4,8,30,45,14.8,10km,Major towns,-31.91235582,152.4625882,1/01/2026
"Williamtown, NSW",5,4,5,18,24.75,18.34,10km,Major towns,-32.81669587,151.8425142,1/01/2026
"Kiama, NSW",7,4,7,30,25,11.18,10km,Major towns,-34.66724838,150.849675,1/01/2026
"Armidale, NSW",13,4,13,65,28.5,6,10km,Major towns,-30.52284634,151.6569822,1/01/2026
"Tamworth, NSW",9,4,15,78,46,13.6,10km,Major towns,-31.08942105,150.9303527,1/01/2026
"Ballina, NSW",6,4,6,26,30,3.9,10km,Major towns,-28.85914979,153.564414,1/01/2026
"Byron Bay, NSW",10,4,10,47,75,44.4,10km,Major towns,-28.63753887,153.5925318,1/01/2026
"Coffs Harbour, NSW",10,4,10,41,76,29.3,10km,Major towns,-30.29646404,153.1135474,1/01/2026
"Grafton, NSW",6,4,6,19,25,8.3,10km,Major towns,-29.68712068,152.936531,1/01/2026
"Kingscliff, NSW",6,4,6,18,30,14.6,10km,Major towns,-28.26011013,153.5797429,1/01/2026
"Lennox Head, NSW",4,4,4,12,45,13.5,10km,Major towns,-28.79083743,153.585243,1/01/2026
"Lismore, NSW",7,4,7,30,78,38.3,10km,Major towns,-28.81477336,153.2858978,1/01/2026
"Port Macquarie, NSW",14,4,14,68,80,23.9,10km,Major towns,-31.4354193,152.8976597,1/01/2026
"Boambee, NSW",5,4,5,18,30,21,10km,Major towns,-30.33112267,153.0817941,1/01/2026
"Terranora, NSW",4,4,4,4,30,23.5,10km,Major towns,-28.24166615,153.5092115,1/01/2026
Tweed Heads,10,4,10,40,110,49,10km,Major towns,-28.18074858,153.5211111,1/01/2026
"Albury, NSW",10,4,10,48,197.9,58.4,10km,Major towns,-36.06521947,146.9398891,1/01/2026
"Griffith, NSW",7,4,7,29,87.5,34.8,10km,Major towns,-34.28797694,146.0447694,1/01/2026
"Moama, NSW",4,4,4,7,30,14.7,10km,Major towns,-36.11112877,144.7560399,1/01/2026
"Wagga Wagga, NSW",14,4,14,75,98,29.2,10km,Major towns,-35.11753461,147.3600657,1/01/2026
"Batemans Bay, NSW",6,4,6,21,45,25.7,10km,Major towns,-35.72494275,150.1941396,1/01/2026
"Goulburn, NSW",9,4,9,40,64,33,10km,Major towns,-34.75542588,149.7137326,1/01/2026
"Colo Vale, NSW",4,4,4,9,30,16.6,10km,Major towns,-34.42143965,150.4771118,1/01/2026
"Jindabyne, NSW",5,4,5,20,40,22.1,10km,Major towns,-36.42756905,148.6215919,1/01/2026
"Merimbula, NSW",6,4,6,20,16,1,10km,Major towns,-36.8831024,149.9061706,1/01/2026
"Queanbeyan , NSW",9,4,9,40,60,16.3,10km,Major towns,-35.3569899,149.2197883,1/01/2026
"Yass, NSW",7,4,7,29,12,-0.8,10km,Major towns,-34.8375596,148.9069095,1/01/2026
"Young, NSW",4,4,4,17,30,11.7,10km,Major towns,-34.30614531,148.3016193,1/01/2026
"Bargo, NSW",4,4,4,7,25,6.99,10km,Major towns,-34.28504299,150.5783452,1/01/2026
"Douglas Park, NSW",4,4,4,14,15,9.7,10km,Major towns,-34.18668233,150.7169898,1/01/2026
"Jilliby, NSW",4,4,4,8,54.01,6.72,10km,Major towns,-33.23183162,151.4067649,1/01/2026
"Nowra, NSW",8,4,8,27,90,28.88,10km,Major towns,-34.8772319,150.6049967,1/01/2026
"Picton, NSW",7,4,7,26,35,10.19,10km,Major towns,-34.1729175,150.6085127,1/01/2026
"The Oaks, NSW",4,4,4,14,15,6.78,10km,Major towns,-34.08688186,150.5668705,1/01/2026
Lithgow,5,4,5,21,30,14.29,10km,Major towns,-33.4827328,150.1559295,1/01/2026
"Bega, NSW",4,4,4,8,30,15.1,20km,Journey enablement,-36.68056791,149.831479,1/01/2027
"Tarcutta, NSW",4,4,4,8,6.9,3.1,20km,Journey enablement,-35.28335431,147.7166748,1/01/2027
Buronga NSW,5,4,4,20,39.7,-2.4,20km,Journey enablement,-34.17329117,142.1898025,1/01/2027
"Hay, NSW",4,4,4,8,10,3.6,20km,Journey enablement,-34.50418411,144.8441586,1/01/2027
"Gunnedah, NSW",4,4,4,8,30,5.2,20km,Journey enablement,-30.97942441,150.2461079,1/01/2027
"Narrabri, NSW",7,4,4,24,30,13.7,20km,Journey enablement,-30.32802835,149.7786371,1/01/2027
"Coonabarabran, NSW",4,4,4,7,13,4.4,20km,Journey enablement,-31.27345491,149.2773256,1/01/2027
"Forbes, NSW",4,4,4,12,30,15.2,20km,Journey enablement,-33.36663735,148.0218351,1/01/2027
"Wilcannia, NSW",4,4,4,4,3.5,2.5,20km,Journey enablement,-31.55870878,143.3787463,1/01/2027
"Broken hills, NSW",4,4,4,4,88.2,45.5,20km,Journey enablement,-31.95125654,141.4629446,1/01/2027
"Nyngan, NSW",4,4,4,4,10,1.1,20km,Journey enablement,-31.55015706,147.1762086,1/01/2027
"Bourke, NSW",4,4,4,4,10,2.9,20km,Journey enablement,-30.09331095,145.9429621,1/01/2027
"Walgett, NSW",4,4,4,5,10,5.1,20km,Journey enablement,-30.0224736,148.1164745,1/01/2027
"Moree, NSW",5,4,4,19,30,10.9,20km,Journey enablement,-29.46292196,149.8357509,1/01/2027
"Glen innes, NSW",4,4,4,5,20,11.9,20km,Journey enablement,-29.73747398,151.7383796,1/01/2027
"Willow Tree, NSW",4,4,4,6,13.3,6.5,20km,Journey enablement,-31.63710229,150.7227959,1/01/2027
"Narrandera, NSW",4,4,4,7,16,2,20km,Journey enablement,-34.74012302,146.5559219,1/01/2027
"Mittagong-Bowral, NSW",12,4,8,43,25,7.19,10km,Major towns,-34.45081557,150.4489285,1/01/2027
"Cooma,NSW",4,4,4,11,20,7.1,20km,Journey enablement,-36.23450396,149.1268611,1/01/2027
"Cowra,NSW",5,4,4,19,30,8.5,20km,Journey enablement,-33.83453885,148.6812105,1/01/2027
"Parkes, NSW",5,4,4,17,30,10.4,20km,Journey enablement,-33.14172239,148.1720098,1/01/2027
"West wyalong, NSW",4,4,4,5,8,-1.1,20km,Journey enablement,-33.91874404,147.1935743,1/01/2027
"Gilgandra,NSW",4,4,4,6,12,5,20km,Journey enablement,-31.69868028,148.6651375,1/01/2027
"Muswellbrook,NSW",4,4,4,16,47.64,21.83,20km,Journey enablement,-32.27879643,150.8982537,1/01/2027
"Pooncarie, NSW",4,4,4,4,8,5.1,20km,Journey enablement,-33.38528348,142.5701108,1/01/2027
"Menindee, NSW",4,4,4,4,5,4,20km,Journey enablement,-32.39567165,142.4132163,1/01/2027
"Ivanhoe, NSW",4,4,4,4,1,-0.1,20km,Journey enablement,-32.9001224,144.3005299,1/01/2027
"Hillston, NSW",4,4,4,4,16,2.7,20km,Journey enablement,-33.48682563,145.5327784,1/01/2027
"Condobolin, NSW",4,4,4,4,10,1.5,20km,Journey enablement,-33.08801497,147.1521962,1/01/2027
"Jerilderie, NSW",4,4,4,8,10,6.3,20km,Journey enablement,-35.35527235,145.723215,1/01/2027
"Balranald, NSW",4,4,4,4,10,6.1,20km,Journey enablement,-34.64220389,143.5671508,1/01/2027
"Coonamble, NSW",4,4,4,4,10,3.8,20km,Journey enablement,-30.95759161,148.3884464,1/01/2027
"Dunedoo, NSW",4,4,4,4,10,4.5,20km,Journey enablement,-32.01615914,149.3979499,1/01/2027
"Inverell, NSW",4,4,4,15,30,7.9,20km,Journey enablement,-29.77427023,151.1109517,1/01/2027
"Barraba, NSW",4,4,4,4,5,2.4,20km,Journey enablement,-30.38247195,150.6096493,1/01/2027
"Temora, NSW",4,4,4,15,10,1.9,20km,Journey enablement,-34.44663402,147.5342991,1/01/2027
"Gundagai, NSW",4,4,4,16,8,1.8,20km,Journey enablement,-35.06151192,148.101348,1/01/2027
"Maclean, NSW",6,4,4,23,16,7,20km,Journey enablement,-29.46060498,153.2017825,1/01/2027
"Molong, NSW",4,4,4,7,4,-0.5,20km,Journey enablement,-33.09428677,148.8656758,1/01/2027
"Hermidale, NSW",4,4,4,4,10,1.1,20km,Journey enablement,-31.54825577,146.7243633,1/01/2027
"Emmdale, NSW",4,4,4,4,5,4.1,20km,Journey enablement,-31.65323367,144.2682742,1/01/2027
"Bilpin, NSW",4,4,4,4,15,0.68,20km,Journey enablement,-33.4979667,150.5213474,1/01/2027
"Little Topar, NSW",4,4,4,4,1.5,0.2,20km,Journey enablement,-31.7798724,142.2273978,1/01/2027
"Coolabah ,NSW",4,4,4,4,10,1.1,20km,Journey enablement,-31.0252105,146.7134536,1/01/2027
"Burren junction, NSW",4,4,4,4,5,2.9,20km,Journey enablement,-30.10402248,148.9687545,1/01/2027
"Goolgowi, NSW",4,4,4,4,16,2.7,20km,Journey enablement,-33.98007672,145.7078232,1/01/2027
"Lockhart, NSW",4,4,4,4,5,1.5,20km,Journey enablement,-35.22331375,146.7143683,1/01/2027
"Maude, NSW",4,4,4,4,30,16.8,20km,Journey enablement,-34.63309776,144.2898553,1/01/2027
"Henty, NSW",4,4,4,4,5,2.1,20km,Journey enablement,-35.51881128,147.035332,1/01/2027
"Holbrook, NSW",4,4,4,4,7,3.3,20km,Journey enablement,-35.71994885,147.316589,1/01/2027
"Deniliquin, NSW",4,4,4,4,30,6.8,20km,Journey enablement,-35.52758055,144.9648168,1/01/2027
Brewarrina NSW,4,4,4,4,8,5.3,20km,Journey enablement,-29.95976876,146.8548786,1/01/2027
"Collarenebri, NSW",4,4,4,4,5,2.3,20km,Journey enablement,-29.54576302,148.5766712,1/01/2027
"Ulladulla, NSW",4,4,4,4,30,4.91,20km,Journey enablement,-35.3579322,150.4740188,1/01/2027
"Narooma, NSW",4,4,4,4,12.5,5.6,20km,Journey enablement,-36.22224959,150.1274296,1/01/2027
"Bingara, NSW",4,4,4,4,3,0.4,20km,Journey enablement,-29.86676821,150.5711728,1/01/2027
"Euston, NSW",4,4,4,4,10,3.4,20km,Journey enablement,-34.57492649,142.7426138,1/01/2027
"Bathurst, NSW",18,4,13,59,115,47.8,10km,Major towns,-33.41196467,149.577495,1/01/2027
"Mudgee, NSW",13,4,9,39,30,1.1,10km,Major towns,-32.5960278,149.5826128,1/01/2027
"Orange, NSW",13,4,9,43,85,23.1,10km,Major towns,-33.27501442,149.0871633,1/01/2027
"Cobar, NSW",4,4,4,6,11,3.9,10km,Major towns,-31.49923264,145.8698973,1/01/2027
"Dubbo, NSW",25,4,19,89,138,48.8,10km,Major towns,-32.24685062,148.593704,1/01/2027
"Branxton, NSW",6,4,5,16,91.29,30.15,10km,Major towns,-32.65890452,151.3520237,1/01/2027
"Nelson Bay Peninsula, NSW",8,4,6,25,45.73,19.22,10km,Major towns,-32.71649559,152.1569676,1/01/2027
"Woodville, NSW",4,4,4,10,38.11,27.58,10km,Major towns,-32.67507971,151.6125853,1/01/2027
"Singleton, NSW",14,4,10,46,60.97,18.98,10km,Major towns,-32.55558784,151.1633237,1/01/2027
"Taree, NSW",10,4,8,30,45,14.8,10km,Major towns,-31.91235582,152.4625882,1/01/2027
"Williamtown, NSW",7,4,5,18,24.75,18.34,10km,Major towns,-32.81669587,151.8425142,1/01/2027
"Kiama, NSW",9,4,7,30,25,11.18,10km,Major towns,-34.66724838,150.849675,1/01/2027
"Armidale, NSW",19,4,13,65,28.5,6,10km,Major towns,-30.52284634,151.6569822,1/01/2027
"Tamworth, NSW",12,4,15,78,46,13.6,10km,Major towns,-31.08942105,150.9303527,1/01/2027
"Ballina, NSW",8,4,6,26,30,3.9,10km,Major towns,-28.85914979,153.564414,1/01/2027
"Byron Bay, NSW",14,4,10,47,75,44.4,10km,Major towns,-28.63753887,153.5925318,1/01/2027
"Coffs Harbour, NSW",13,4,10,41,76,29.3,10km,Major towns,-30.29646404,153.1135474,1/01/2027
"Grafton, NSW",7,4,6,19,25,8.3,10km,Major towns,-29.68712068,152.936531,1/01/2027
"Kingscliff, NSW",7,4,6,18,30,14.6,10km,Major towns,-28.26011013,153.5797429,1/01/2027
"Lennox Head, NSW",4,4,4,12,45,13.5,10km,Major towns,-28.79083743,153.585243,1/01/2027
"Lismore, NSW",9,4,7,30,78,38.3,10km,Major towns,-28.81477336,153.2858978,1/01/2027
"Port Macquarie, NSW",20,4,14,68,80,23.9,10km,Major towns,-31.4354193,152.8976597,1/01/2027
"Boambee, NSW",7,4,5,18,30,21,10km,Major towns,-30.33112267,153.0817941,1/01/2027
"Terranora, NSW",4,4,4,4,30,23.5,10km,Major towns,-28.24166615,153.5092115,1/01/2027
Tweed Heads,12,4,10,40,110,49,10km,Major towns,-28.18074858,153.5211111,1/01/2027
"Albury, NSW",14,4,10,48,197.9,58.4,10km,Major towns,-36.06521947,146.9398891,1/01/2027
"Griffith, NSW",8,4,7,29,87.5,34.8,10km,Major towns,-34.28797694,146.0447694,1/01/2027
"Moama, NSW",4,4,4,7,30,14.7,10km,Major towns,-36.11112877,144.7560399,1/01/2027
"Wagga Wagga, NSW",22,4,14,75,98,29.2,10km,Major towns,-35.11753461,147.3600657,1/01/2027
"Batemans Bay, NSW",8,4,6,21,45,25.7,10km,Major towns,-35.72494275,150.1941396,1/01/2027
"Goulburn, NSW",12,4,9,40,64,33,10km,Major towns,-34.75542588,149.7137326,1/01/2027
"Colo Vale, NSW",4,4,4,9,30,16.6,10km,Major towns,-34.42143965,150.4771118,1/01/2027
"Jindabyne, NSW",7,4,5,20,40,22.1,10km,Major towns,-36.42756905,148.6215919,1/01/2027
"Merimbula, NSW",8,4,6,20,16,1,10km,Major towns,-36.8831024,149.9061706,1/01/2027
"Queanbeyan , NSW",11,4,9,40,60,16.3,10km,Major towns,-35.3569899,149.2197883,1/01/2027
"Yass, NSW",9,4,7,29,12,-0.8,10km,Major towns,-34.8375596,148.9069095,1/01/2027
"Young, NSW",7,4,4,17,30,11.7,10km,Major towns,-34.30614531,148.3016193,1/01/2027
"Bargo, NSW",4,4,4,7,25,6.99,10km,Major towns,-34.28504299,150.5783452,1/01/2027
"Douglas Park, NSW",5,4,4,14,15,9.7,10km,Major towns,-34.18668233,150.7169898,1/01/2027
"Jilliby, NSW",4,4,4,8,54.01,6.72,10km,Major towns,-33.23183162,151.4067649,1/01/2027
"Nowra, NSW",9,4,8,27,90,28.88,10km,Major towns,-34.8772319,150.6049967,1/01/2027
"Picton, NSW",8,4,7,26,35,10.19,10km,Major towns,-34.1729175,150.6085127,1/01/2027
"The Oaks, NSW",6,4,4,14,15,6.78,10km,Major towns,-34.08688186,150.5668705,1/01/2027
