station_id,road_name,suburb,cardinal_direction_name,classification_type,year,period,traffic_count,wgs84_latitude,wgs84_longitude,Heavy traffic 2021
97327,Hay Road,Deniliquin,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2010,ALL DAYS,120,-35.505722,144.968674,134
97349,Cadell Street,Hay,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2010,ALL DAYS,55,-34.50412,144.843903,61
97352,Barooga-Tocumwal Road,Tocumwal,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2010,ALL DAYS,60,-35.829552,145.602081,67
97356,Conargo Road,Deniliquin,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2006,ALL DAYS,150,-35.516506,144.989075,174
97380,Wakool Road,Deniliquin,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2006,ALL DAYS,74,-35.524208,144.933411,86
97383,Wakool Road,Wakool,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2006,ALL DAYS,29,-35.47966,144.311966,34
97442,Whitton Darlington Point Road,Darlington Point,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2010,ALL DAYS,58,-34.564789,146.019592,65
97457,Cobram Road,Berrigan,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2010,ALL DAYS,93,-35.688679,145.805557,104
97463,Barham Road,Deniliquin,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2012,ALL DAYS,132,-35.552425,144.879623,144
97466,Riverina Highway,Berrigan,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2011,ALL DAYS,102,-35.679882,145.82341,113
97469,Perricoota Road,Moama,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2010,ALL DAYS,71,-36.04998,144.65448,79
97493,Meninya Street,Moama,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2010,ALL DAYS,584,-36.109779,144.753525,652
97494,Yanga Way,Kyalite,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2012,ALL DAYS,155,-34.941238,143.479355,170
98002,Silver City Highway,Broken Hill,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2006,ALL DAYS,48,-32.081757,141.403915,56
98038,Silver City Highway,Mourquong,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2010,ALL DAYS,220,-34.141636,142.169144,245
98063,Sturt Highway,Buronga,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2007,ALL DAYS,1234,-34.183842,142.172943,1418
98064,Sturt Highway,Monak,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2007,ALL DAYS,514,-34.290379,142.29097,591
98076,Barrier Highway,Broken Hill,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2009,ALL DAYS,136,-31.859758,141.882813,153
98142,Pooncarie Road,Menindee,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2006,ALL DAYS,44,-32.409927,142.402802,51
98156,Arumpo Road,Mourquong,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2006,ALL DAYS,108,-34.137169,142.187866,125
99031,Great Western Highway,Hartley,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2008,ALL DAYS,1151,-33.539219,150.161118,1310
99034,Great Western Highway,Mount Victoria,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2009,ALL DAYS,1491,-33.596401,150.263809,1680
99037,Chifley Road,Bell,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2006,ALL DAYS,58,-33.509514,150.27977,67
99082,Great Western Highway,Hartley,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2008,ALL DAYS,1393,-33.544544,150.173203,1585
99084,Castlereagh Highway,Marrangaroo,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2009,ALL DAYS,472,-33.419147,150.102066,532
99135,Castlereagh Highway,Dunedoo,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2009,ALL DAYS,82,-32.002338,149.382294,92
99179,Castlereagh Highway,Round Swamp,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2009,ALL DAYS,301,-33.071186,149.9366,339
99234,Great Western Highway,Mount Victoria,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2009,ALL DAYS,1453,-33.590359,150.254257,1637
99236,Great Western Highway,South Bowenfels,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2008,ALL DAYS,1179,-33.508904,150.124222,1342
99259,Castlereagh Highway,Dunedoo,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2009,ALL DAYS,106,-32.052746,149.480576,119
99264,Castlereagh Highway,Dunedoo,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2009,ALL DAYS,81,-31.929626,149.321991,91
99267,Castlereagh Highway,Ilford,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2009,ALL DAYS,287,-32.927822,149.85144,323
99274,Castlereagh Highway,Galambine,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2009,ALL DAYS,214,-32.47504,149.506439,241
99612,Mid Western Highway,Bathampton,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2006,ALL DAYS,189,-33.482677,149.415604,219
99824,Castlereagh Highway,Mendooran,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2009,ALL DAYS,120,-31.82935,149.107498,135
99847,Stewart Street,Mitchell,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2009,ALL DAYS,417,-33.422489,149.556534,470
99887,Sydney Road,Kelso,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2009,ALL DAYS,1511,-33.420025,149.62439,1703
99889,Castlereagh Highway,Lidsdale,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2009,ALL DAYS,414,-33.380737,150.078308,467
99894,Castlereagh Highway,Gulgong,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2009,ALL DAYS,133,-32.350094,149.495544,150
99911,Mitchell Highway,Windradyne,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2009,ALL DAYS,1022,-33.411942,149.541107,1152
99921,Great Western Highway,Glanmire,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2006,ALL DAYS,496,-33.425926,149.691452,576
99922,Castlereagh Highway,Burrundulla,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2006,ALL DAYS,131,-32.649929,149.66156,152
99931,Castlereagh Highway,Menah,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2009,ALL DAYS,320,-32.559254,149.549698,361
100001,Cambridge Street,Canley Heights,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,3268,-33.878181,150.924942,3401
100004,Lawrence Hargrave Drive,Clifton,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,338,-34.259789,150.969467,352
100015,Princes Motorway,Helensburgh,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2015,ALL DAYS,3048,-34.150352,150.990295,3236
6119-PR,Pacific Highway,Nabiac,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,3403,-32.088028,152.405975,3541
6120-PR,Pacific Highway,Kiwarrak,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,3744,-31.968466,152.463989,3896
6128-PR,Pacific Highway,Lake Innes,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,3144,-31.515654,152.794846,3272
6135-PR,Hume Highway,Bowning,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,4346,-34.791008,148.86348,4522
6178-PR,Picton Road,Cordeaux,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,4223,-34.372967,150.829529,4394
66249X,Fairfield Street,Fairfield East,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2010,ALL DAYS,1269,-33.869339,150.96344,1416
7104-PR,Broughton Street,Campbelltown,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,1392,-34.066612,150.81958,1449
7119-PR,Hawkesbury Road,Merrylands,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,1399,-33.817974,150.981827,1456
7123-PR,Pages Road,St Marys,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,2017,-33.769588,150.768738,2099
980FDSC,Great Western Highway,Parramatta,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2011,ALL DAYS,1160,-33.818405,150.994781,1281
9834-PR,Kingsway,Miranda,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,1547,-34.033203,151.092529,1610
9836-PR,Victoria Road,Ryde,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,3102,-33.819687,151.117416,3228
984FDSC,The Boulevarde,Strathfield,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2009,ALL DAYS,865,-33.877594,151.093262,975
ALBSTC,Hume Highway,Table Top,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,3527,-35.967876,147.004715,3670
BGBSTC,Newell Highway,Boggabilla,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,1327,-28.567099,150.321335,1381
BKHSTC,Barrier Highway,Broken Hill,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,148,-31.919672,141.534698,154
